Date,AAPL,AMZN,BRK-B,CMCSA,GOOG,KO,MSFT,ORCL,WFC,XOM,V,MA,JPM,WMT,COST,TGT,CVX,COP,NEE,DUK,SO,UNH,JNJ,CVS,SPY
2010-01-04,6.412383556365967,6.695000171661377,66.22000122070312,5.5154128074646,15.483122825622559,17.316329956054688,23.077381134033203,19.94736671447754,17.937847137451172,37.6309928894043,19.60523223876953,23.542091369628906,28.27920913696289,12.93382740020752,42.043365478515625,30.939592361450195,41.26545333862305,22.791379928588867,8.290855407714844,25.154088973999023,16.384294509887695,24.407686233520508,40.2047119140625,22.134666442871094,84.79637908935547
2010-01-05,6.423469543457031,6.734499931335449,66.54000091552734,5.440659046173096,15.414941787719727,17.106863021850586,23.084840774536133,19.92328643798828,18.43027687072754,37.77790451049805,19.380565643310547,23.472442626953125,28.82697296142578,12.805038452148438,41.91598129272461,31.05428695678711,41.55774688720703,22.81306266784668,8.209890365600586,24.739044189453125,16.054141998291016,24.36898422241211,39.73851013183594,22.047414779663086,85.02082824707031
2010-01-06,6.321296215057373,6.612500190734863,66.19999694824219,5.4016594886779785,15.026349067687988,17.10079002380371,22.943172454833984,19.63430404663086,18.45654296875,38.10443878173828,19.12032699584961,23.438501358032227,28.985361099243164,12.776412963867188,42.460899353027344,31.646947860717773,41.562950134277344,22.977779388427734,8.290855407714844,24.82798957824707,16.280820846557617,24.60896110534668,40.06175994873047,21.852779388427734,85.08068084716797
2010-01-07,6.309608459472656,6.5,66.45999908447266,5.5154128074646,14.676543235778809,17.05828857421875,22.704557418823242,19.570091247558594,19.12625503540039,37.984703063964844,19.29827880859375,23.28533363342285,29.55952262878418,12.78357219696045,42.255672454833984,32.03569412231445,41.406375885009766,22.88675308227539,8.267501831054688,24.946565628051758,16.21183204650879,25.553367614746094,39.775821685791016,22.65816879272461,85.4398422241211
2010-01-08,6.351555347442627,6.676000118255615,66.44000244140625,5.4991607666015625,14.872197151184082,16.742557525634766,22.86114501953125,19.8109073638916,18.948976516723633,37.83232498168945,19.351661682128906,23.2935848236084,29.48693084716797,12.71917724609375,41.95137023925781,31.908235549926758,41.47945022583008,23.086145401000977,8.195881843566895,24.961393356323242,16.177339553833008,25.31340980529785,39.912567138671875,22.819242477416992,85.72418975830078
2010-01-11,6.295527935028076,6.515500068664551,66.5,5.4634108543396,14.849717140197754,17.082576751708984,22.570354461669922,19.818933486938477,18.909582138061523,38.25679397583008,19.296051025390625,22.91022491455078,29.38794708251953,12.929054260253906,42.00090789794922,31.978351593017578,42.21540832519531,23.22051239013672,8.18964958190918,25.213367462158203,16.389217376708984,25.483699798583984,39.91878890991211,22.772262573242188,85.84391021728516
2010-01-12,6.223916053771973,6.367499828338623,66.0,5.365908145904541,14.587116241455078,17.26776123046875,22.421222686767578,19.71457862854004,18.436845779418945,38.06631851196289,19.20484161376953,22.897382736206055,28.70157814025879,13.05307388305664,41.774436950683594,31.443008422851562,41.970069885253906,22.72636604309082,7.990365505218506,25.243009567260742,16.285736083984375,24.81022834777832,40.13011169433594,22.523941040039062,85.04331970214844
2010-01-13,6.31170654296875,6.45550012588501,66.0,5.45041036605835,14.503369331359863,17.313295364379883,22.630001068115234,19.907224655151367,18.765138626098633,37.91395568847656,19.382801055908203,23.49261474609375,29.203147888183594,13.119855880737305,42.03629684448242,31.443008422851562,41.651695251464844,22.869415283203125,8.018383026123047,25.302322387695312,16.517349243164062,25.189538955688477,40.38496398925781,22.79909896850586,85.76158905029297
2010-01-14,6.275150775909424,6.367499828338623,65.95999908447266,5.417910575866699,14.571552276611328,17.343656539916992,23.084840774536133,20.38178253173828,19.034332275390625,37.91939163208008,19.44952392578125,23.88974380493164,29.493518829345703,12.929054260253906,41.55508041381836,31.927352905273438,41.52120590209961,22.96477508544922,7.7863969802856445,25.302322387695312,16.47791862487793,25.793350219726562,40.465782165527344,22.785690307617188,85.9935302734375
2010-01-15,6.170280933380127,6.35699987411499,64.94000244140625,5.404910087585449,14.328218460083008,17.08864402770996,23.01026725769043,20.301353454589844,18.436845779418945,37.60919952392578,19.16036033630371,24.08875274658203,28.82697296142578,12.802650451660156,41.604618072509766,31.971986770629883,41.35418701171875,22.98210334777832,7.870473861694336,25.05031967163086,16.428638458251953,26.126218795776367,40.13011169433594,22.75884437561035,85.0283432006836
